model,hidden_layers,hidden_nodes,epochs,batch_size,learning_rate,weight_decay,train_acc,valid_acc,,,,,,,,,
13290,3,36,43,16,0.002,1.00E-06,90.13452915,75.67567568,,,,,,,,,
13397,3,36,1405,16,0.04,2.00E-05,90.58295964,75.67567568,,,,,,,,,
13446,3,36,556,32,0.0002,1.00E-06,90.13452915,75.67567568,,,,,,,,,
13460,3,36,601,32,0.0002,2.00E-05,91.92825112,75.67567568,,,,,,,,,
13529,3,36,65,32,0.002,1.00E-06,90.58295964,75.67567568,,,,,,,,,
16601,4,36,59,4,0.0008,0,90.58295964,75.67567568,,,,,,,,,
16625,4,36,52,4,0.001,0,90.13452915,75.67567568,,,,,,,,,
16738,4,36,248,4,0.02,2.00E-05,91.47982063,75.67567568,,,,,,,,,
16752,4,36,1499,4,0.04,1.00E-05,71.30044843,75.67567568,,,,,,,,,
16850,4,36,77,8,0.0008,1.00E-06,90.58295964,75.67567568,,,,,,,,,
16885,4,36,35,8,0.002,0,92.37668161,75.67567568,,,,,,,,,
